timestamp,device_id,sensor_type,value,unit,alert_flag
2024-06-01T00:32:33,device_14,humidity,31.7,%,0
2024-06-01T02:41:07,device_04,humidity,62.9,%,0
2024-06-01T04:18:46,device_10,temperature,24.7,°C,0
2024-06-01T05:59:36,device_09,power_draw,137.5,W,1
2024-06-01T06:16:22,device_01,power_draw,37.2,W,0
2024-06-01T08:18:05,device_13,motion,1,boolean,1
2024-06-01T09:18:48,device_14,motion,0,boolean,0
2024-06-01T09:42:14,device_11,motion,0,boolean,0
2024-06-01T09:58:16,device_07,power_draw,6.7,W,0
2024-06-01T10:15:12,device_07,temperature,20.5,°C,0
2024-06-01T11:17:03,device_05,motion,0,boolean,0
2024-06-01T11:23:44,device_13,motion,1,boolean,1
2024-06-01T11:26:52,device_12,humidity,70,%,0
2024-06-01T11:28:34,device_15,power_draw,101.3,W,0
2024-06-01T13:27:40,device_03,humidity,68.8,%,0
2024-06-01T13:33:13,device_10,temperature,29,°C,0
2024-06-01T15:36:28,device_11,temperature,21.1,°C,0
2024-06-01T15:39:15,device_12,motion,0,boolean,0
2024-06-01T17:40:00,device_05,motion,1,boolean,1
2024-06-01T17:59:24,device_09,humidity,88.1,%,1
2024-06-01T18:03:20,device_15,temperature,27.5,°C,0
2024-06-01T18:51:21,device_15,temperature,19.5,°C,1
2024-06-01T19:17:33,device_07,power_draw,28.9,W,0
2024-06-01T20:45:34,device_14,motion,1,boolean,1
2024-06-02T00:03:05,device_05,power_draw,107.1,W,0
2024-06-02T00:37:10,device_12,temperature,27.6,°C,0
2024-06-02T01:20:16,device_02,temperature,28.7,°C,0
2024-06-02T03:09:42,device_06,temperature,29.1,°C,0
2024-06-02T03:14:49,device_05,power_draw,91,W,0
2024-06-02T04:10:48,device_10,power_draw,125.8,W,1
2024-06-02T06:07:58,device_09,power_draw,118.1,W,0
2024-06-02T08:35:24,device_06,motion,1,boolean,1
2024-06-02T08:44:10,device_14,power_draw,92.5,W,0
2024-06-02T10:09:49,device_03,temperature,20.5,°C,0
2024-06-02T11:13:52,device_10,humidity,75.9,%,0
2024-06-02T12:19:00,device_02,temperature,20.3,°C,0
2024-06-02T13:25:57,device_14,humidity,73.5,%,1
2024-06-02T14:26:17,device_01,humidity,40.7,%,0
2024-06-02T16:45:24,device_03,power_draw,7.2,W,0
2024-06-02T17:42:55,device_06,temperature,27.5,°C,0
2024-06-02T18:09:34,device_15,temperature,27.9,°C,0
2024-06-02T18:13:35,device_12,power_draw,30,W,0
2024-06-02T18:32:42,device_02,motion,1,boolean,1
2024-06-02T18:48:31,device_09,motion,0,boolean,0
2024-06-02T19:52:36,device_09,power_draw,36,W,0
2024-06-02T20:25:35,device_15,temperature,29.7,°C,0
2024-06-02T20:55:16,device_03,motion,1,boolean,1
2024-06-02T21:37:00,device_14,humidity,43.4,%,0
2024-06-02T21:37:26,device_13,temperature,27.4,°C,0
2024-06-03T01:32:54,device_15,motion,0,boolean,0
2024-06-03T01:49:38,device_14,motion,0,boolean,0
2024-06-03T02:09:46,device_06,motion,1,boolean,1
2024-06-03T02:43:19,device_02,humidity,42.8,%,0
2024-06-03T03:15:25,device_03,humidity,39,%,0
2024-06-03T03:38:21,device_08,motion,0,boolean,0
2024-06-03T04:04:47,device_15,temperature,31.7,°C,0
2024-06-03T04:59:44,device_15,motion,0,boolean,0
2024-06-03T05:22:50,device_10,humidity,63.6,%,0
2024-06-03T05:30:46,device_11,motion,0,boolean,0
2024-06-03T05:44:18,device_01,temperature,18.5,°C,1
2024-06-03T05:58:37,device_03,temperature,27.4,°C,0
2024-06-03T06:12:07,device_01,humidity,41.1,%,0
2024-06-03T06:49:49,device_09,humidity,48.4,%,0
2024-06-03T07:40:26,device_03,power_draw,146.5,W,1
2024-06-03T08:41:08,device_09,power_draw,71.3,W,0
2024-06-03T08:45:55,device_06,motion,1,boolean,1
2024-06-03T10:34:32,device_06,humidity,36.7,%,0
2024-06-03T10:43:53,device_08,motion,1,boolean,1
2024-06-03T11:58:47,device_13,humidity,73.5,%,0
2024-06-03T13:29:15,device_15,humidity,82.7,%,1
2024-06-03T15:11:21,device_10,power_draw,41.2,W,0
2024-06-03T15:45:15,device_02,humidity,66,%,0
2024-06-03T16:01:30,device_10,temperature,30.3,°C,0
2024-06-03T16:04:24,device_10,power_draw,18.5,W,0
2024-06-03T16:16:37,device_05,motion,0,boolean,0
2024-06-03T18:23:41,device_01,temperature,27.4,°C,0
2024-06-03T19:55:23,device_11,motion,1,boolean,1
2024-06-03T20:34:40,device_01,humidity,59.4,%,0
2024-06-03T21:09:41,device_04,temperature,19.2,°C,0
2024-06-03T23:40:03,device_11,power_draw,27.8,W,0
2024-06-04T01:05:22,device_14,temperature,30.4,°C,0
2024-06-04T01:16:39,device_02,motion,1,boolean,1
2024-06-04T02:49:02,device_02,temperature,30.4,°C,0
2024-06-04T04:03:38,device_03,power_draw,118.5,W,0
2024-06-04T05:39:44,device_13,motion,0,boolean,0
2024-06-04T06:00:16,device_06,motion,1,boolean,1
2024-06-04T06:14:06,device_01,humidity,69.3,%,0
2024-06-04T09:14:36,device_14,humidity,73.5,%,1
2024-06-04T10:25:50,device_05,humidity,47.5,%,0
2024-06-04T12:15:04,device_05,power_draw,138.7,W,1
2024-06-04T13:50:50,device_14,motion,1,boolean,1
2024-06-04T14:58:37,device_07,power_draw,61.7,W,0
2024-06-04T17:33:58,device_05,power_draw,130.9,W,1
2024-06-04T19:01:41,device_04,power_draw,40.8,W,0
2024-06-04T19:10:38,device_12,humidity,75,%,1
2024-06-04T20:10:49,device_02,motion,1,boolean,1
2024-06-04T20:52:55,device_07,temperature,33.8,°C,0
2024-06-04T21:09:36,device_08,temperature,21.3,°C,0
2024-06-04T23:46:34,device_10,motion,1,boolean,1
2024-06-05T01:41:46,device_01,power_draw,109.1,W,0
2024-06-05T01:49:03,device_14,motion,1,boolean,1
2024-06-05T03:03:49,device_04,motion,0,boolean,0
2024-06-05T03:37:04,device_05,temperature,27.5,°C,0
2024-06-05T04:20:06,device_07,motion,1,boolean,1
2024-06-05T05:12:29,device_12,motion,1,boolean,1
2024-06-05T06:03:00,device_14,temperature,18.1,°C,0
2024-06-05T07:02:34,device_05,temperature,27.9,°C,0
2024-06-05T07:11:26,device_12,power_draw,13.9,W,0
2024-06-05T08:41:59,device_03,power_draw,13.5,W,0
2024-06-05T08:57:19,device_03,humidity,43.6,%,0
2024-06-05T11:17:35,device_13,power_draw,86.9,W,0
2024-06-05T11:43:21,device_14,temperature,31.5,°C,1
2024-06-05T14:36:51,device_05,power_draw,149.3,W,1
2024-06-05T18:06:28,device_04,power_draw,5.8,W,0
2024-06-05T20:09:58,device_08,power_draw,56.4,W,0
2024-06-05T20:58:44,device_04,humidity,74.9,%,1
2024-06-05T23:08:03,device_11,motion,1,boolean,1
