timestamp,device_id,src_ip,dst_ip,protocol,packet_size_bytes,flow_duration_ms,direction,label
2024-06-01T00:39:05,device_08,10.0.0.183,148.35.213.39,HTTPS,474,32,outbound,benign
2024-06-01T03:00:14,device_05,10.0.0.140,84.22.155.180,HTTP,504,432,inbound,benign
2024-06-01T03:01:01,device_13,10.0.0.222,19.85.173.202,HTTP,455,405,inbound,benign
2024-06-01T03:47:01,device_05,10.0.0.75,66.220.164.120,HTTP,965,346,inbound,benign
2024-06-01T05:04:39,device_09,10.0.0.226,151.97.21.85,HTTP,684,342,inbound,benign
2024-06-01T06:18:00,device_07,10.0.0.53,189.67.154.41,MQTT,251,336,outbound,benign
2024-06-01T07:51:33,device_11,10.0.0.39,64.88.154.79,TCP,438,121,inbound,benign
2024-06-01T09:02:16,device_04,10.0.0.137,98.94.158.38,HTTP,840,87,inbound,benign
2024-06-01T09:06:01,device_14,10.0.0.242,208.200.94.90,UDP,1463,297,outbound,benign
2024-06-01T09:24:11,device_03,10.0.0.102,180.190.175.117,HTTP,1482,156,outbound,benign
2024-06-01T11:45:55,device_15,10.0.0.241,206.28.159.159,HTTPS,1255,93,outbound,benign
2024-06-01T13:01:10,device_02,10.0.0.219,147.36.212.157,HTTPS,1373,59,inbound,Recon
2024-06-01T13:11:25,device_08,10.0.0.114,206.84.34.66,UDP,1346,321,outbound,Recon
2024-06-01T13:42:07,device_04,10.0.0.133,177.37.202.209,HTTP,1079,226,inbound,benign
2024-06-01T14:03:10,device_12,10.0.0.140,222.100.103.250,MQTT,662,155,outbound,benign
2024-06-01T15:38:40,device_05,10.0.0.17,164.97.198.251,HTTP,714,395,outbound,benign
2024-06-01T18:26:22,device_01,10.0.0.7,17.192.127.204,MQTT,885,233,inbound,benign
2024-06-01T20:45:07,device_05,10.0.0.81,128.19.184.107,TCP,1232,382,outbound,benign
2024-06-01T21:44:41,device_08,10.0.0.179,143.43.127.201,HTTPS,641,497,outbound,benign
2024-06-01T21:58:58,device_02,10.0.0.200,185.80.81.239,TCP,217,198,inbound,benign
2024-06-01T22:33:33,device_14,10.0.0.239,123.81.7.216,TCP,561,362,outbound,benign
2024-06-01T22:48:16,device_03,10.0.0.69,89.241.63.168,MQTT,914,92,outbound,Recon
2024-06-02T00:49:07,device_04,10.0.0.85,168.134.144.27,TCP,1436,86,inbound,benign
2024-06-02T01:27:51,device_02,10.0.0.13,155.30.60.205,HTTPS,311,20,inbound,benign
2024-06-02T01:59:50,device_07,10.0.0.193,139.186.211.217,TCP,407,23,inbound,benign
2024-06-02T02:53:52,device_11,10.0.0.253,27.176.118.240,HTTP,995,236,outbound,benign
2024-06-02T06:37:14,device_13,10.0.0.231,177.117.141.146,TCP,1400,42,outbound,benign
